gsc_impressions,gsc_avg_position,gsc_clicks,reason_code,reason_description,action_rank,content_archetype,operational_workflow,decay_half_life_days,refresh_trigger
1104,5.115036231884058,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5817,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,6.725543478260869,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5818,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,3.5090579710144927,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5819,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,33.578804347826086,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5820,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,3.4864130434782608,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5821,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,8.470108695652174,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5822,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,1.536231884057971,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5823,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1104,4.2518115942028984,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5824,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,4.2638259292837715,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5825,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,5.400725294650952,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5826,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,1.6264732547597462,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5827,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,30.362647325475976,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5828,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,3.5367180417044426,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5829,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,27.45693563009973,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5830,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,4.804170444242974,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5831,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,42.45512239347235,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5832,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,4.057116953762466,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5833,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1103,3.2375339981867635,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5834,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,5.548094373865699,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5835,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,5.676043557168784,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5836,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,3.086206896551724,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5837,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,34.77223230490018,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5838,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,4.562613430127041,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5839,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,0.8402903811252269,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5840,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,3.1969147005444647,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5841,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,29.797640653357533,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5842,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,4.842105263157895,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5843,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,37.8557168784029,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5844,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,5.52994555353902,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5845,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1102,4.547186932849365,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5846,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,5.289736603088102,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5847,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,2.42960944595822,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5848,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,27.826521344232518,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5849,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,6.801089918256131,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5850,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,36.236148955495004,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5851,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,25.23069936421435,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5852,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,3.251589464123524,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5853,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,5.283378746594005,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5854,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,2.3869209809264307,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5855,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,23.108991825613078,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5856,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1101,3.138964577656676,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5857,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,40.77181818181818,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5858,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,37.28363636363636,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5859,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,6.262727272727273,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5860,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,36.62909090909091,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5861,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,34.837272727272726,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5862,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,7.61,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5863,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,1.8372727272727272,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5864,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,35.084545454545456,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5865,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,4.760909090909091,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5866,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1100,3.1281818181818184,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5867,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,3.915377616014559,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5868,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,0.5868971792538672,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5869,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,22.34758871701547,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5870,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,6.896269335759782,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5871,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,6.6687898089171975,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5872,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1099,4.492265696087352,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5873,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,19.860655737704917,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5874,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,31.11384335154827,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5875,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,4.033697632058288,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5876,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,5.448087431693989,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5877,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,15.629326047358834,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5878,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,4.783242258652095,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5879,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,8.467213114754099,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5880,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,5.256830601092896,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5881,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,6.648451730418944,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5882,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1098,32.857012750455375,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5883,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,28.168641750227895,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5884,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,3.7055606198723794,20,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5885,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,30.116681859617138,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5886,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,1.7985414767547858,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5887,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,37.350045578851415,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5888,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,3.373746581586144,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5889,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1097,1.4667274384685507,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5890,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,2.7235401459854014,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5891,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,34.458941605839414,6,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5892,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,4.352189781021898,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5893,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,40.69434306569343,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5894,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,4.666970802919708,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5895,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,2.7992700729927007,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5896,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,23.764598540145986,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5897,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,6.908759124087592,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5898,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1096,6.133211678832117,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5899,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,4.546118721461188,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5900,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,6.861187214611872,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5901,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,3.5424657534246577,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5902,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,7.223744292237443,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5903,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,36.423744292237444,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5904,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,2.6191780821917807,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5905,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,11.152511415525113,1,LOW_YIELD_ARCHIVE,Low projected return; defer or archive content piece.,5906,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,23.44566210045662,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5907,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,16.398173515981735,6,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5908,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1095,2.965296803652968,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5909,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,4.918647166361974,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5910,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,13.507312614259599,1,LOW_YIELD_ARCHIVE,Low projected return; defer or archive content piece.,5911,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,45.47349177330896,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5912,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,3.3976234003656307,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5913,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,38.3382084095064,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5914,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,20.13162705667276,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5915,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,2.0228519195612433,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5916,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,5.9195612431444244,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5917,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,5.4259597806215725,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5918,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,3.5,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5919,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1094,11.808043875685557,0,LOW_YIELD_ARCHIVE,Low projected return; defer or archive content piece.,5920,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,3.8618481244281795,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5921,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,32.199451052150046,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5922,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,4.155535224153706,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5923,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,46.18389752973467,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5924,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,4.126258005489478,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5925,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,3.1811527904849037,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5926,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1093,3.683440073193047,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5927,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,33.56318681318681,5,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5928,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,2.1144688644688645,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5929,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,38.23260073260073,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5930,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,32.55769230769231,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5931,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,2.2005494505494507,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5932,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,3.956959706959707,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5933,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,4.975274725274725,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5934,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1092,2.7536630036630036,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5935,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,7.076993583868011,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5936,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,25.697525206232815,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5937,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,9.476626947754355,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5938,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,4.640696608615949,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5939,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,2.7378551787351055,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5940,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,6.278643446379468,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5941,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,50.90650779101742,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5942,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,30.761686526122823,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5943,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
1091,18.419798350137487,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,5944,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
